Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Muito Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;;Pouco
Insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;Pouco
Insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;;;;;Gestão de projectos;;;;Navegação na ferramenta;;;Vídeos;;Indicações de interface;;;;;;Pouco
Insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;;Mural de equipa;Gestão de equipa;;;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;;Exemplos;;;Indicações de interface;;;;;;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;;Pouco
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Pouco
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;Aspecto visual;;;;;;;Mural de equipa;Gestão de equipa;;;;Pouco
Satisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Pouco
