Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;;Indicações de interface;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;Aspecto visual;;;;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;;;Gestão de equipa;;Acesso a recursos externos;Nada a acrescentar.;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;;;Navegação na ferramenta;;;Vídeos;;;;;;;estes questionários!!!;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;;;;;Vídeos;;;;Gestão de equipa;;;Por vezes gostava de ter mais algumas palavras para explicar pormenores do projeto.;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;;Indicações de interface;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Não foram úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;;;Vídeos;;;Mural de equipa;;;;Questão N/A pois aprecio imenso a aplicação;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;Indicações de interface;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Perguntas;Exemplos;;;;;;;;nao tenho aspectos negativos a salientar;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;;;Vídeos;;;;;Gestão de projectos;Acesso a recursos externos;;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;;Exemplos;;Modelo de negócios;;;Gestão de equipa;;;;Aspecto visual;;;;Vídeos;;Indicações de interface;;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;;Indicações de interface;Mural de equipa;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;Aspecto visual;Navegação na ferramenta;;;;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;;;;Perguntas;Exemplos;;;Indicações de interface;;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;Modelo de negócios;Indicações de interface;;Gestão de equipa;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;;Nada a assinalar, mas é obrigatório fazer 3 selecções... Como a minha equipa sou eu e a minha familia provavelmente, opto por seleccionar as opções de equipa prque são as menos necessárias no meu projecto especifico...;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;;;Mural de equipa;;Gestão de projectos;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;Indicações de interface;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;;Indicações de interface;Mural de equipa;;;;;Aspecto visual;;Perguntas;;Vídeos;;;;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;;;;;;Ajudas dadas para facilitar resposta.;;;;;Vídeos;;;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;;;;"Os videos poderiam ter a opção ""Não voltar a mostrar"" após serem visionados uma vez.";Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;;;;;;;;;Acesso a recursos externos;Bugs;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;Vídeos;;;;;;Acesso a recursos externos;As vezes não chega espaço para resposta mais completa.;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;;Exemplos;;Modelo de negócios;Indicações de interface;;;;;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;;Aspecto visual;;;;;;Indicações de interface;;Gestão de equipa;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;Indicações de interface;;;;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;Perguntas;;;;Indicações de interface;;;;;;;;;Exemplos;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;Perguntas;;;;;;;;Acesso a recursos externos;Não gosto de não poder ter uma visão geral/ prévia das perguntas e acho que algumas perguntas não são suficientemente latas para se adequar a qualquer tipo de negócio;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;;Indicações de interface;;;Gestão de projectos;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;Os reduzidos caracteres para responder às questões.;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;Modelo de negócios;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;Gestão de projectos;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;Mural de equipa;;;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;Aspecto visual;;;;;;;Mural de equipa;;;;o botão de acesso dentro da comunidade não funciona.;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;;;;;;Acesso a recursos externos;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;;;;;;;Acesso a recursos externos;numero de caracteres disponíveis para explicar o projecto, acho poucos em certas perguntas.;Bastante
Muito Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;Vídeos;;;;;;Acesso a recursos externos;nada;Bastante
Muito insatisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;;Exemplos;;;;;;;Acesso a recursos externos;;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;Bastante
Muito insatisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;Aspecto visual;;Perguntas;;;;;;Gestão de equipa;;;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;Bastante
Muito insatisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;;Exemplos;;;Indicações de interface;;;Gestão de projectos;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;Gestão de equipa;;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;;;;Modelo de negócios;;;;Gestão de projectos;Acesso a recursos externos;;;;;;Vídeos;;;Mural de equipa;;;;A dificuldade em apagar a criação de novos projetos;Bastante
Muito insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Aspecto visual;Navegação na ferramenta;;;;;;Mural de equipa;;;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;;;;Exemplos;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;;Indicações de interface;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;Vídeos;;;;;;;;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;Bastante
Muito insatisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Não foram úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Muito insatisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;;;;;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;;Mural de equipa;;;;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;;Exemplos;;;;;Gestão de equipa;;;;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;;;;;;;Gestão de projectos;;;;;;Exemplos;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;;;;;;;Indicações de interface;Mural de equipa;Gestão de equipa;;;;Bastante
Muito insatisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Muito insatisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;Gestão de projectos;;;Bastante
Insatisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;Indicações de interface;Mural de equipa;;;;;Bastante
Insatisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;;Vídeos;;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Insatisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;;;;Acesso a recursos externos;Limitação de caracteres;Bastante
Insatisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;Aspecto visual;;;;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;;Vídeos;;;;Gestão de equipa;;;;;Navegação na ferramenta;;;;;;;;Gestão de projectos;Acesso a recursos externos;;Alguma coisa
Satisfeito;Úteis, mas pouco;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;;Acesso a recursos externos;;Alguma coisa
Satisfeito;Não foram úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Alguma coisa
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Alguma coisa
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;Indicações de interface;;;;;;Alguma coisa
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;;Gestão de equipa;Gestão de projectos;;;Alguma coisa
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Alguma coisa
