"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Gestão de projectos;,Exemplos;Vídeos;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Modelo de negócios;Indicações de interface;,Perguntas;Exemplos;Vídeos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Modelo de negócios;Gestão de equipa;Gestão de projectos;,nao tenho nenhum aspecto negativo em relaçao à plataforma;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Gestão de projectos;,Exemplos;Vídeos;Acesso a recursos externos;,Bastante,3,4.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Modelo de negócios;,Aspecto visual;Mural de equipa;Acesso a recursos externos;,Bastante,3,4.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;,Mural de equipa;,Imenso,3,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Indicações de interface;Gestão de projectos;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Modelo de negócios;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Mural de equipa;,Bastante,3,4.0
4- Muito Satisfeito,"Úteis, mas pouco",Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;,Indicações de interface;Gestão de equipa;Acesso a recursos externos;,Bastante,4,4.0
3,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Exemplos;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Acesso a recursos externos;,Alguma coisa,3,3.0
